EncryptId,Subject,Course,Section,Term,Course_Hours_Attempted,Mid_Term_Grade,Final_Grade,Meeting_Days,Start_Time,End_Time
6467132,ACC,343,1,201110,3,,A,MW,1300.0,1415.0
6467132,ACC,453,1,201110,3,,A,TR,1400.0,1515.0
6467132,ACC,457,1,201110,3,,B,MW,1425.0,1540.0
6467132,ACC,465,1,201110,3,,A,TR,1100.0,1215.0
6467132,COM,111,13,201110,3,,A,M,1800.0,2030.0
19190691,SPH,130,1,201110,3,,A,TR,930.0,1045.0
19190691,SPH,233,20,201110,3,,B,TR,1700.0,1830.0
4124661,ACC,231,1,201110,3,,B,MW,1300.0,1415.0
4124661,CSC,241,1,201110,3,,C,MWF,1000.0,1050.0
4124661,CSC,331,1,201110,3,,C,TR,930.0,1045.0
4124661,CSC,343,1,201110,3,,F,TR,1100.0,1215.0
23731144,BIO,407,1,201110,3,,B,MWF,1000.0,1050.0
20377376,HMS,353,501,201110,3,,A,,,
20377376,RHB,220,1,201110,3,,A,MWF,1100.0,1150.0
20377376,RHB,222,501,201110,3,,B,,,
20377376,RHB,383,1,201110,3,,B,MWF,1200.0,1250.0
185083,ACC,231,2,201110,3,,C,TR,800.0,915.0
185083,BCM,247,2,201110,3,,C,MWF,900.0,950.0
185083,CSC,102,1,201110,3,,W6,MWF,800.0,850.0
185083,GBU,321,1,201110,3,,B,TR,930.0,1045.0
185083,SPA,131,8,201110,4,,B,MWF,1000.0,1050.0
185083,SPA,131,30,201110,0,,,MTWRF,,
23547594,CSC,342,1,201110,3,,B,MWF,1000.0,1050.0
23547594,CSC,425,1,201110,3,,B,TR,800.0,915.0
23547594,CSC,475,2,201110,1,,B,TR,1530.0,1645.0
19539773,ACC,232,2,201110,3,,F,MWF,1100.0,1150.0
19539773,CSC,214,1,201110,3,,F,MWF,900.0,950.0
19539773,CSC,241,1,201110,3,,F,MWF,1000.0,1050.0
19539773,MTH,143,2,201110,3,,F,MW,1300.0,1415.0
3595370,GEO,305,1,201110,3,,A,MW,1400.0,1515.0
3595370,GEO,315,1,201110,3,,W6,R,1600.0,1830.0
3595370,GIS,224,1,201110,3,,B,MW,1000.0,1050.0
3595370,GIS,224,21,201110,0,,,T,1400.0,1645.0
21139052,GOL,132,1,201110,4,,C,MWF,900.0,950.0
21139052,GOL,132,61,201110,0,,,T,1700.0,1850.0
21139052,HIS,133,2,201110,3,,C,MWF,800.0,850.0
